,Gene,fold_change,p_value,log2_fold_change
10013,Rbm20,2.204458611572406,0.03329903045135415,1.1404243907936384
4248,Gbp7,2.1925009867748395,0.04493863833538285,1.132577491981227
8470,Nrn1,2.1217148108482258,0.010261761407450668,1.0852307502085923
1554,Bcar3,2.111785712232808,0.01084512377674073,1.0784634485298425
6870,Klf9,2.1094554376072434,0.01786288828092668,1.0768706108461477
5933,Gramd1b,2.1043227086520435,0.04772871469628593,1.0733559662610834
1221,Arntl,2.10119471171801,0.009675676952699662,1.071209858638292
2002,Ccl6,2.0915309235911517,0.03622527130264173,1.0645593285971966
4918,Gm16984,2.089075978604801,0.006789033127835555,1.0628649634261005
4453,Gm10516,2.0876081874946837,0.04705631597000146,1.0618509652598098
2602,Cpa2,2.066203724280007,0.0459904246597505,1.0469825085681121
9113,Pkia,2.06291785008049,0.0316381972987464,1.0446863710832128
3845,Fam46a,2.05687744663917,0.009199276231690132,1.040455837424786
1764,C330013J21Rik,2.0060848318419784,0.003184999919000788,1.004382614868339
7066,Lipt2,0.4895266751559179,0.00011868099348856978,-1.0305406179662457
9068,Pik3ap1,0.4854131979749371,0.006813056173628971,-1.0427147602051976
9782,RP23-28E6.1,0.4820354755417864,0.046824675791697176,-1.0527887689614945
13767,Zfpm1,0.47595542672582625,0.0028671326854536874,-1.0711016235655462
12597,Trmt61b,0.4756154347452763,0.014962866026677677,-1.072132560482626
8436,Nr1d1,0.4737351236736824,0.017004443802609254,-1.0778474546942474
13214,Wfdc15b,0.46794342420082363,0.023640765796853692,-1.0955939808027424
5708,Gm8034,0.46412504242254626,0.025649263244751492,-1.1074145529402972
9980,Rassf10,0.4624614589086741,0.0020799359106611075,-1.112594957059956
7062,Lipg,0.46174784529218943,0.008591402176613621,-1.1148228658800297
10903,Sh3bp1,0.456987455449566,0.024362209109198067,-1.1297735318121103
2015,Ccne1,0.44661590565783416,0.0032624549541189173,-1.1628934630618164
2454,Clstn3,0.44518212341459457,0.004672281574775532,-1.1675324334269914
4369,Gm10029,0.44461393373154695,0.046462580576567485,-1.169374933273672
3409,Efna3,0.43957851636757395,0.034871456169845286,-1.1858072160782571
8916,Per2,0.43741580633809213,0.025878555435296588,-1.1929227407254974
142,1810064F22Rik,0.4348110802956496,0.042803677719991384,-1.2015393898397475
11057,Slc25a29,0.43254045399804125,0.003944080459351411,-1.2090930255991803
12251,Tmem189,0.4287678373811172,0.0013828556496516332,-1.221731404089403
1261,Ascl2,0.4286986262221038,0.00010167988607140047,-1.221964300885576
8917,Per3,0.4212157584980501,0.018861034024835,-1.247368683495934
9336,Pou2f3,0.42083152013312225,0.04439105911340158,-1.2486853288581212
5259,Gm28053,0.4183180147352646,0.030982611809013103,-1.2573279663541341
851,Ak1,0.41666153265100037,0.043329360077866,-1.2630521823087715
1501,BC051142,0.41276662923975344,0.013002398667971904,-1.2766017563364602
6437,Id2,0.4102079630599873,0.010682969164053022,-1.2855725968393519
8162,Nckap5,0.40338791942127844,0.01629360576388858,-1.3097602158248964
5146,Gm25492,0.3981046554113437,0.04771663878060086,-1.3287803525724216
5541,Gm4737,0.39097419749998885,0.01266133502652677,-1.3548546954548004
649,Acap3,0.3846487707623031,0.026632165404407274,-1.3783863970143757
12179,Tmed8,0.3826643539416216,0.0066504562961572766,-1.3858485779593919
9195,Plk2,0.3774099598013407,0.0029188800157286103,-1.40579559890607
7638,Mir6942,0.3764808788082297,0.03908629598777746,-1.4093515015680307
2473,Cmtm3,0.3647999569822927,0.03407999101754435,-1.45482253550926
11393,Snord7,0.3601338200315759,0.013925559132602187,-1.4733950060485699
7194,Ltc4s,0.35153877337233813,0.04105435944997902,-1.5082442731087666
232,2610528A11Rik,0.3508928606546124,0.009195068530979065,-1.5108975002477878
9713,Purg,0.35028313520505433,0.022801113243810303,-1.5134065653307174
6331,Hoxa9,0.34926332128126303,0.04650414974288117,-1.5176129522521837
12044,Tgif2-ps2,0.3356697073586068,0.025273821083798338,-1.574885748544342
6989,Lck,0.33078540004404666,0.04265117137185729,-1.596032535556173
10998,Slc14a1,0.317603563126828,0.00033087132152822906,-1.6547009970268642
4955,Gm17586,0.28781168021175796,0.01904646229160546,-1.796802952977168
9832,RP24-74B24.4,0.2781578350107841,0.04119156412408266,-1.8460243516111128
6336,Hoxb5,0.25351063312230876,0.03749943152753206,-1.9798818347155296
459,9530062K07Rik,0.2485891797261857,0.02160883298001149,-2.0081645929261756
5342,Gm36189,0.2485075636017025,0.041693394911510806,-2.0086383324172785
5631,Gm6457,0.24577440464521427,0.041802395125412194,-2.0245934160121624
4838,Gm15846,0.236246898028771,0.044777858072136814,-2.081632708317204
4832,Gm15788,0.23581117807773078,0.01898903283293425,-2.0842959873623843
11995,Tef,0.22331386770080222,0.01112261635704934,-2.162855250166949
10522,Rps8-ps1,0.19647440602842872,0.018838449826514884,-2.3475867045447107
5693,Gm7833,0.19222020746967727,0.017884996538207937,-2.3791680850824193
7234,M5C1000I18Rik,0.15274685996837215,0.010558129364839498,-2.7107853721567476
2906,Dbp,0.12584322007758936,0.013350398119814427,-2.9903006028535057
4862,Gm16053,0.07320638857511817,0.0030404018436400136,-3.77188663466069
10376,Rpl31-ps13,0.06725878310028911,0.04553301734067508,-3.894133513066935
4999,Gm20521,0.057648540901495016,0.011894478224337382,-4.116572096395796
